match_id,wc_year,team,opponent,shots,goals,xG,passes_total,passes_completed,pass_completion_pct,pressures
7549,2018,Iceland,Nigeria,10,0,1.552161967,339,224,66.07669616519173,285
7529,2018,Croatia,Nigeria,11,1,1.6944666339999999,503,389,77.33598409542743,160
7529,2018,Nigeria,Croatia,13,0,0.7623215977000002,425,319,75.05882352941177,152
7562,2018,Australia,Peru,16,0,1.629269625,575,489,85.04347826086956,244
7562,2018,Peru,Australia,4,2,0.3363750876,431,341,79.11832946635731,200
7571,2018,Senegal,Colombia,7,0,0.360865074,328,234,71.34146341463415,217
7571,2018,Colombia,Senegal,4,1,0.28486186999999996,466,358,76.82403433476395,96
7568,2018,Switzerland,Costa Rica,13,2,1.2196792517,595,502,84.36974789915966,172
7568,2018,Costa Rica,Switzerland,14,1,1.576212685,362,280,77.34806629834254,118
7530,2018,France,Australia,12,1,1.561557064,549,445,81.05646630236795,136
7530,2018,Australia,France,5,1,0.980031062,444,342,77.02702702702703,113
7558,2018,Uruguay,Russia,16,2,2.4825809298,526,436,82.88973384030417,146
7558,2018,Russia,Uruguay,3,0,0.180184531,380,290,76.31578947368422,218
7583,2018,Brazil,Mexico,19,2,3.320421268,410,330,80.48780487804879,257
7583,2018,Mexico,Brazil,14,0,0.58279982,429,353,82.28438228438229,153
7547,2018,Denmark,Australia,10,1,1.014444774,478,396,82.84518828451883,152
7547,2018,Australia,Denmark,13,1,1.412191891,533,442,82.92682926829268,168
7535,2018,Costa Rica,Serbia,10,0,0.5960217237,481,376,78.17047817047818,97
7535,2018,Serbia,Costa Rica,12,1,1.9925690040000001,439,335,76.30979498861048,126
8649,2018,Uruguay,France,10,0,0.693195278,352,217,61.64772727272727,182
8649,2018,France,Uruguay,11,2,0.5387829577000001,567,445,78.48324514991182,171
8658,2018,France,Croatia,8,3,1.097963608,292,202,69.17808219178082,157
8658,2018,Croatia,France,15,2,1.4802876897,554,448,80.86642599277978,97
7582,2018,Spain,Russia,29,3,5.358603154,1157,1026,88.67761452031115,123
7582,2018,Russia,Spain,12,5,4.5404268089999995,326,215,65.95092024539878,277
7552,2018,Belgium,Tunisia,23,5,5.336422204999999,475,392,82.52631578947368,160
7552,2018,Tunisia,Belgium,17,2,1.1881780826,467,374,80.08565310492506,272
7532,2018,Peru,Denmark,17,0,1.926378192,435,347,79.77011494252874,121
7532,2018,Denmark,Peru,11,1,1.1215676380000001,402,302,75.12437810945273,170
7560,2018,Spain,Morocco,18,2,2.6044931,753,675,89.64143426294821,140
7560,2018,Morocco,Spain,8,2,1.0717606750000002,251,187,74.5019920318725,267
7533,2018,Brazil,Switzerland,21,1,1.8665897939999998,555,473,85.22522522522522,234
7533,2018,Switzerland,Brazil,7,1,0.4721066513,458,363,79.25764192139738,266
7564,2018,Nigeria,Argentina,9,1,1.305345181,322,210,65.21739130434783,302
7564,2018,Argentina,Nigeria,8,2,0.8505598590000001,595,479,80.50420168067227,134
7579,2018,Uruguay,Portugal,7,2,0.47600794099999993,291,190,65.29209621993127,183
7579,2018,Portugal,Uruguay,21,1,0.9955767281,593,486,81.95615514333895,98
7577,2018,Morocco,Iran,14,0,1.0591950264999999,492,397,80.6910569105691,149
7577,2018,Iran,Morocco,8,0,0.6975558776999999,267,144,53.93258426966292,208
7525,2018,Russia,Saudi Arabia,14,5,1.2816009420000003,388,272,70.10309278350515,147
7525,2018,Saudi Arabia,Russia,6,0,0.24880649999999999,572,458,80.06993006993007,121
7566,2018,Mexico,Sweden,22,0,1.6107035277000001,508,404,79.52755905511812,89
7566,2018,Sweden,Mexico,15,2,2.7904868150000004,254,152,59.84251968503938,182
8651,2018,Sweden,England,8,0,0.834186639,400,291,72.75,254
8651,2018,England,Sweden,12,2,0.75823599,563,426,75.66607460035524,104
7567,2018,South Korea,Germany,12,2,1.774630282,259,184,71.04247104247105,292
7567,2018,Germany,South Korea,29,0,2.7064005620000002,734,631,85.96730245231608,114
7541,2018,Colombia,Japan,10,1,0.8062560289999999,422,314,74.40758293838863,248
7541,2018,Japan,Colombia,14,2,2.3206739599999997,630,530,84.12698412698413,172
8655,2018,France,Belgium,19,1,1.681686764,367,301,82.01634877384197,149
8655,2018,Belgium,France,9,0,0.5668682939999999,623,549,88.12199036918138,97
8657,2018,Belgium,England,11,2,1.32065846,499,427,85.57114228456913,259
8657,2018,England,Belgium,15,0,1.335356625,685,619,90.36496350364963,274
8652,2018,Russia,Croatia,18,5,4.988439122,417,266,63.78896882494005,201
8652,2018,Croatia,Russia,23,6,5.567974576,771,607,78.72892347600519,122
7563,2018,Denmark,France,5,0,0.13895808480000002,342,236,69.00584795321637,192
7563,2018,France,Denmark,11,0,0.41814049500000006,699,592,84.69241773962804,91
7556,2018,Japan,Senegal,7,2,0.982192996,476,368,77.31092436974791,146
7556,2018,Senegal,Japan,15,2,1.8782642930000002,392,285,72.70408163265306,139
7559,2018,Saudi Arabia,Egypt,21,2,2.545815476,674,589,87.3887240356083,198
7559,2018,Egypt,Saudi Arabia,8,1,0.92372594,379,292,77.04485488126649,178
3857276,2022,Canada,Morocco,5,0,1.095618012,562,480,85.40925266903915,135
3857276,2022,Morocco,Canada,7,2,0.42640382499999996,393,310,78.88040712468194,154
3857271,2022,England,Iran,13,6,1.987157745,846,746,88.17966903073287,101
3857271,2022,Iran,England,8,2,1.4556585987,247,163,65.9919028340081,141
3857296,2022,Croatia,Belgium,11,0,0.695021896,609,514,84.40065681444992,164
3857296,2022,Belgium,Croatia,16,0,2.3818400918,630,543,86.19047619047619,119
3857274,2022,Netherlands,Ecuador,2,1,0.104464025,552,457,82.78985507246377,135
3857274,2022,Ecuador,Netherlands,15,1,1.651054305,463,359,77.5377969762419,170
3857255,2022,Japan,Spain,6,2,1.157800672,253,177,69.96047430830039,229
3857255,2022,Spain,Japan,12,1,0.8577122079999998,1093,993,90.8508691674291,89
3857272,2022,England,United States,8,0,0.460638346,582,500,85.91065292096219,103
3857272,2022,United States,England,10,0,0.514287002,456,377,82.67543859649122,157
3857278,2022,Iran,United States,4,0,0.9207899420000001,515,402,78.05825242718447,150
3857278,2022,United States,Iran,12,1,1.169654601,517,426,82.39845261121856,140
3857277,2022,Morocco,Croatia,8,0,0.362638976,384,301,78.38541666666666,168
3857277,2022,Croatia,Morocco,5,0,0.8498605050000001,686,577,84.11078717201165,107
3857273,2022,Wales,Iran,10,0,0.6156351910000001,559,438,78.35420393559929,90
3857273,2022,Iran,Wales,21,2,1.4539579476000002,363,227,62.53443526170799,161
3857275,2022,Tunisia,France,5,1,0.298346986,361,275,76.17728531855957,110
3857275,2022,France,Tunisia,10,0,0.47698937399999997,661,564,85.32526475037821,94
3857261,2022,Wales,England,7,0,0.208009498,351,274,78.06267806267806,136
3857261,2022,England,Wales,18,3,2.91548517,630,553,87.77777777777777,74
3857290,2022,Switzerland,Cameroon,7,1,1.426544536,549,461,83.97085610200364,143
3857290,2022,Cameroon,Switzerland,8,0,0.6130733495,533,440,82.55159474671669,145
3857298,2022,Portugal,Ghana,11,3,2.096873393,665,576,86.61654135338345,110
3857298,2022,Ghana,Portugal,9,2,0.7800233097,415,336,80.96385542168674,140
3857285,2022,Senegal,Netherlands,15,0,0.6914927064999999,430,344,80.0,112
3857285,2022,Netherlands,Senegal,10,2,1.1238838,491,393,80.04073319755601,104
3857282,2022,United States,Wales,6,1,0.6024987946,610,520,85.24590163934425,137
3857282,2022,Wales,United States,7,1,1.395336012,443,339,76.52370203160271,128
